,S,E,I,Q,R,N
116,1126408408.0,204124981.0,310206.0,151.0,112506173.0,1443593670.0
117,-335758083.0,3366770.0,625841.0,146.0,1766604786.0,1435661922.0
118,-244308526.0,3586046.0,652670.0,152.0,1675484996.0,1436192545.0
119,1030960660.0,4989131.0,652862.0,132.0,411881269.0,1443613462.0
120,1030322381.0,10025079.0,1061462.0,172.0,417304153.0,1443608658.0
121,1032190786.0,5718748.0,868752.0,144.0,410502014.0,1443620320.0
122,1034507659.0,4097691.0,665050.0,152.0,408319577.0,1443635211.0
123,988331101.0,2496656.0,257472.0,133.0,469914713.0,1443402684.0
124,1033251212.0,5083791.0,796454.0,163.0,409436988.0,1443627102.0
125,1033073785.0,4640393.0,743038.0,132.0,409657937.0,1443626331.0
126,1034993114.0,3002977.0,569517.0,118.0,408000373.0,1443639325.0
127,1035027524.0,2616276.0,482080.0,112.0,408016317.0,1443638976.0
128,1031544953.0,2623326.0,421797.0,94.0,411406527.0,1443618171.0
129,1034222011.0,2453827.0,436067.0,95.0,408820645.0,1443634163.0
130,1036451250.0,3853101.0,631951.0,161.0,406691621.0,1443647034.0
131,1032787595.0,3362993.0,554256.0,126.0,410092329.0,1443625447.0
132,1031992800.0,1458735.0,262438.0,56.0,411150894.0,1443621374.0
133,-2448947607.0,3239850.0,679502.0,161.0,3866488799.0,1423387970.0
134,-2259502317.0,1878503.0,409227.0,97.0,3679802680.0,1424487318.0
