i_I,i_Q,beta_iq,beta_ir,beta_qr,gamma_2,beta_bd
0.10542903,0.999983314,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.092809353,0.999940963,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.174840462,0.168454334,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.100921564,0.931930018,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.113686093,0.835338723,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.117395346,0.763247557,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.140055992,0.586064297,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.148755325,0.479990948,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.152884167,0.531118111,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.152989479,0.534138396,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.146387345,0.471539327,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.139294539,0.573943828,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.166940179,0.480914983,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.165721488,0.479333851,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.123034168,0.519496876,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.102565501,0.027259365,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.095557094,0.430472467,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.093451003,0.421180628,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.118321753,0.07105645,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.149482648,0.732147156,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.120480066,0.693680367,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.119270267,0.51232265,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.15084831,0.854336563,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.160557221,0.988551911,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.155430174,0.773877016,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.154130114,0.747371366,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.120744343,0.687846728,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.139196528,0.951708228,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.131804264,0.855262832,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.12048094,0.618572553,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.098698516,0.05830039,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.098599597,0.060758222,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.099050239,0.057299112,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.08650774,0.079656485,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.099476778,0.152768403,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
0.107040877,0.463232827,0.001302362,0.520070087,0.763983889,0.616739911,0.572051916
