beta_bd,beta_iq,beta_ir,beta_qr,gamma_2,i_I,i_Q
0.7597640616143708,0.018527343740660392,0.8066674003853725,0.45577358459320994,0.9521984844780194,0.14234421443494735,0.19810025440528597
0.37218875981713695,0.10927329664137628,0.33790340349211634,0.6403000198599387,0.7796222972682599,0.4230958838704749,0.5868518266549749
0.7407950341463396,0.29770535256349717,0.8558814781758701,0.8820894852259065,0.987272594838797,0.4115013015375129,0.4737478135633977
0.7922883410711146,0.04769341456191246,0.9658935796595878,0.35781261746636384,0.6294201623616668,0.35448434528322753,0.6888120079377543
0.6213215624576509,0.0010949594578937073,0.7536230464221011,0.4682705831476975,0.9641416024994638,0.03468426500863982,0.5268016740194548
0.9988685211220757,0.0012999072219322394,0.7912145421500447,0.8615456024842219,0.17488032735612918,0.055036341387968285,0.4586237725969753
0.4904431258713316,0.03498883517221382,0.9582408136949718,0.484977477469681,0.4836169288678372,0.07348232107790595,0.17889744901539983
0.5506037324644921,0.0009216515011436568,0.6356810367195548,0.8176196879616353,0.5107531138477751,0.04385407688006891,0.8258637123957893
0.9256111922869399,0.0010463755854069508,0.8204204411620968,0.40381059407723424,0.9723596477174847,0.05004839714466741,0.894618160737364
0.4531784630749718,0.03139797974525132,0.9730889906429699,0.5225902649408809,0.8243284112463619,0.08749310738568866,0.47349497573691135
0.5971629550276796,0.01798653920489777,0.6868828718213054,0.6011254353405805,0.8679001160864633,0.11453783168437286,0.12209700893240516
0.942119128611553,0.02026362844300955,0.9116707641563109,0.5094783153438265,0.7341808246519443,0.130875447271887,0.4256764751108838
0.9995607717087308,0.05766396193761401,0.95525527245754,0.3014087941898953,0.6542303829378158,0.28884809105688153,0.475198502991531
0.4634285335738232,0.0902633099088769,0.6248955658664227,0.6241465514409723,0.19315079106574384,0.30925535086025563,0.38528269737161575
0.39315740918305897,0.03139326254238592,0.3472734072173459,0.7676496768531397,0.8326701713914607,0.7077059906956457,0.3741190884402037
0.3003233099626123,0.6199764225458757,0.8728102408666143,0.7953413190973764,0.7622263214453564,0.16282803089899978,0.05306828585697145
0.5454882741049336,0.048784520419111736,0.5189754287906649,0.048917896438654934,0.6118113636792627,0.4314202300141384,0.4133441841140139
0.6041378085640544,0.020543174786936888,0.8430741356434197,0.94762470891136,0.4688369482760154,0.10695659116647421,0.9200237269404603
0.677725624760106,0.046872926186360686,0.9278731133101089,0.6231905020932246,0.6922002914249421,0.11591288257038396,0.25191395015727824
0.4579708574262027,0.1239561415099312,0.2789165586810416,0.6298946081657709,0.7822728093997093,0.2370613012799777,0.13680206139990508
0.46875991032737974,0.05791288907748319,0.38344813128917193,0.7487669174287225,0.2216348546683276,0.5507162255765778,0.5287346580273165
0.43635343210508815,0.017200788427474273,0.37062441400903545,0.32445424364013054,0.27970681868829395,0.6448854805057559,0.3390673829231194
0.3733737295387074,0.34672498454250034,0.4553511341300474,0.7152300174807519,0.6715539545162931,0.3576985385023059,0.21412985136517543
0.5285280933772915,0.4761681331881453,0.3547389133165028,0.633495275436678,0.4123391604485852,0.3381925379475589,0.26893014590689845
0.8959954089591232,0.35646443429753627,0.6783724832992948,0.8593736324797349,0.44179188465968805,0.6442232959404711,0.018770334447549566
0.8765815582937925,0.30129916884923846,0.4243635686042361,0.8406543951516864,0.3003511597722058,0.5251337830316909,0.20608500538446847
